National Total;Nationality;Periodo;Total
National Total;Peru;2008;27.523
National Total;Uruguay;2021;1.915
National Total;Uruguay;2020;2.236
National Total;Uruguay;2019;3.827
National Total;Uruguay;2018;2.876
National Total;Uruguay;2017;2.442
National Total;Uruguay;2016;1.851
National Total;Uruguay;2015;1.245
National Total;Uruguay;2014;1.027
National Total;Uruguay;2013;918
National Total;Uruguay;2012;991
National Total;Uruguay;2011;1.324
National Total;Uruguay;2010;1.466
National Total;Uruguay;2009;1.669
National Total;Uruguay;2008;4.332
National Total;Venezuela;2021;23.771
National Total;Venezuela;2020;29.667
National Total;Venezuela;2019;58.054
National Total;Venezuela;2018;47.147
National Total;Venezuela;2017;31.598
National Total;Venezuela;2016;18.507
National Total;Venezuela;2015;10.529
National Total;Venezuela;2014;7.199
National Total;Venezuela;2013;4.691
National Total;Venezuela;2012;4.609
National Total;Venezuela;2011;6.767
National Total;Venezuela;2010;6.460
National Total;Venezuela;2009;5.736
National Total;Venezuela;2008;8.693
National Total;Other South American countries;2021;10
National Total;Other South American countries;2020;11
National Total;Other South American countries;2019;9
National Total;Other South American countries;2018;7
National Total;Other South American countries;2017;10
National Total;Other South American countries;2016;7
National Total;Other South American countries;2015;7
National Total;Other South American countries;2014;5
National Total;Other South American countries;2013;8
National Total;Other South American countries;2012;9
National Total;Other South American countries;2011;6
National Total;Other South American countries;2010;4
National Total;Other South American countries;2009;7
National Total;Other South American countries;2008;12
National Total;De Asia;2021;32.856
National Total;De Asia;2020;24.833
National Total;De Asia;2019;48.047
National Total;De Asia;2018;43.645
National Total;De Asia;2017;37.624
National Total;De Asia;2016;32.516
National Total;De Asia;2015;28.153
National Total;De Asia;2014;26.995
National Total;De Asia;2013;27.977
National Total;De Asia;2012;30.493
National Total;De Asia;2011;35.275
National Total;De Asia;2010;36.804
National Total;De Asia;2009;31.409
National Total;De Asia;2008;45.188
National Total;Bangladesh;2021;1.146
National Total;Bangladesh;2020;1.240
National Total;Bangladesh;2019;2.546
National Total;Bangladesh;2018;2.521
National Total;Bangladesh;2017;2.039
National Total;Bangladesh;2016;1.673
National Total;Bangladesh;2015;1.277
National Total;Bangladesh;2014;1.024
National Total;Bangladesh;2013;1.343
National Total;Bangladesh;2012;1.892
National Total;Bangladesh;2011;1.559
National Total;Bangladesh;2010;1.409
National Total;Bangladesh;2009;1.673
National Total;Bangladesh;2008;1.616
National Total;China;2021;5.858
National Total;China;2020;5.064
National Total;China;2019;12.097
National Total;China;2018;11.945
National Total;China;2017;11.424
National Total;China;2016;10.215
National Total;China;2015;10.134
National Total;China;2014;9.410
National Total;China;2013;9.127
National Total;China;2012;9.184
National Total;China;2011;10.706
National Total;China;2010;10.473
National Total;China;2009;11.881
National Total;China;2008;20.080
National Total;Philippines;2021;2.008
National Total;Philippines;2020;1.825
National Total;Philippines;2019;3.248
National Total;Philippines;2018;2.745
National Total;Philippines;2017;2.818
National Total;Philippines;2016;2.525
National Total;Philippines;2015;2.465
National Total;Philippines;2014;2.001
National Total;Philippines;2013;2.095
National Total;Philippines;2012;2.140
National Total;Philippines;2011;2.483
National Total;Philippines;2010;2.135
National Total;Philippines;2009;3.124
National Total;Philippines;2008;4.849
National Total;India;2021;3.388
National Total;India;2020;3.026
National Total;India;2019;7.171
National Total;India;2018;6.993
National Total;India;2017;4.754
National Total;India;2016;3.792
National Total;India;2015;2.990
National Total;India;2014;2.893
National Total;India;2013;2.827
National Total;India;2012;2.932
National Total;India;2011;3.649
National Total;India;2010;3.382
National Total;India;2009;4.280
National Total;India;2008;5.024
National Total;Pakistan;2021;9.753
National Total;Pakistan;2020;7.386
National Total;Pakistan;2019;11.704
National Total;Pakistan;2018;8.728
National Total;Pakistan;2017;6.580
National Total;Pakistan;2016;6.371
National Total;Pakistan;2015;4.811
National Total;Pakistan;2014;5.311
National Total;Pakistan;2013;6.484
National Total;Pakistan;2012;8.345
National Total;Pakistan;2011;11.513
National Total;Pakistan;2010;15.322
National Total;Pakistan;2009;6.425
National Total;Pakistan;2008;8.872
National Total;Other Asian countries;2021;10.703
National Total;Other Asian countries;2020;6.292
National Total;Other Asian countries;2019;11.281
National Total;Other Asian countries;2018;10.713
National Total;Other Asian countries;2017;10.009
National Total;Other Asian countries;2016;7.941
National Total;Other Asian countries;2015;6.476
National Total;Other Asian countries;2014;6.357
National Total;Other Asian countries;2013;6.101
National Total;Other Asian countries;2012;6.000
National Total;Other Asian countries;2011;5.363
National Total;Other Asian countries;2010;4.083
National Total;Other Asian countries;2009;4.026
National Total;Other Asian countries;2008;4.747
National Total;De Oceanía;2021;589
National Total;De Oceanía;2020;508
National Total;De Oceanía;2019;844
National Total;De Oceanía;2018;746
National Total;De Oceanía;2017;715
National Total;De Oceanía;2016;589
National Total;De Oceanía;2015;522
National Total;De Oceanía;2014;477
National Total;De Oceanía;2013;477
National Total;De Oceanía;2012;480
National Total;De Oceanía;2011;471
National Total;De Oceanía;2010;336
National Total;De Oceanía;2009;346
National Total;De Oceanía;2008;420
National Total;Stateless persons;2021;410
National Total;Stateless persons;2020;302
National Total;Stateless persons;2019;410
National Total;Stateless persons;2018;408
National Total;Stateless persons;2017;297
National Total;Stateless persons;2016;227
National Total;Stateless persons;2015;156
National Total;Stateless persons;2014;149
National Total;Stateless persons;2013;106
National Total;Stateless persons;2012;61
National Total;Stateless persons;2011;68
National Total;Stateless persons;2010;58
National Total;Stateless persons;2009;34
National Total;Stateless persons;2008;57
01 Andalucía;Total;2021;78.116
01 Andalucía;Total;2020;66.443
01 Andalucía;Total;2019;91.309
01 Andalucía;Total;2018;74.070
01 Andalucía;Total;2017;62.618
01 Andalucía;Total;2016;49.990
01 Andalucía;Total;2015;43.016
01 Andalucía;Total;2014;40.124
01 Andalucía;Total;2013;37.137
01 Andalucía;Total;2012;42.014
01 Andalucía;Total;2011;48.617
01 Andalucía;Total;2010;49.113
01 Andalucía;Total;2009;52.881
01 Andalucía;Total;2008;75.226
01 Andalucía;Spanish ;2021;7.335
01 Andalucía;Spanish ;2020;5.819
01 Andalucía;Spanish ;2019;8.276
01 Andalucía;Spanish ;2018;7.222
01 Andalucía;Spanish ;2017;6.725
01 Andalucía;Spanish ;2016;5.698
01 Andalucía;Spanish ;2015;5.062
01 Andalucía;Spanish ;2014;4.046
01 Andalucía;Spanish ;2013;3.249
01 Andalucía;Spanish ;2012;3.245
01 Andalucía;Spanish ;2011;3.434
01 Andalucía;Spanish ;2010;2.889
01 Andalucía;Spanish ;2009;2.891
01 Andalucía;Spanish ;2008;3.364
01 Andalucía;País de la UE27_2020 sin España;2021;17.765
01 Andalucía;País de la UE27_2020 sin España;2020;12.346
01 Andalucía;País de la UE27_2020 sin España;2019;""
01 Andalucía;País de la UE27_2020 sin España;2018;""
01 Andalucía;País de la UE27_2020 sin España;2017;""
01 Andalucía;País de la UE27_2020 sin España;2016;""
01 Andalucía;País de la UE27_2020 sin España;2015;""
01 Andalucía;País de la UE27_2020 sin España;2014;""
01 Andalucía;País de la UE27_2020 sin España;2013;""
01 Andalucía;País de la UE27_2020 sin España;2012;""
01 Andalucía;País de la UE27_2020 sin España;2011;""
01 Andalucía;País de la UE27_2020 sin España;2010;""
01 Andalucía;País de la UE27_2020 sin España;2009;""
01 Andalucía;País de la UE27_2020 sin España;2008;""
01 Andalucía;País de la UE28 sin España;2021;""
01 Andalucía;País de la UE28 sin España;2020;""
01 Andalucía;País de la UE28 sin España;2019;25.122
01 Andalucía;País de la UE28 sin España;2018;22.102
01 Andalucía;País de la UE28 sin España;2017;21.646
01 Andalucía;País de la UE28 sin España;2016;18.251
01 Andalucía;País de la UE28 sin España;2015;16.766
01 Andalucía;País de la UE28 sin España;2014;16.930
01 Andalucía;País de la UE28 sin España;2013;15.478
01 Andalucía;País de la UE28 sin España;2012;18.118
01 Andalucía;País de la UE28 sin España;2011;20.453
01 Andalucía;País de la UE28 sin España;2010;20.445
01 Andalucía;País de la UE28 sin España;2009;20.013
01 Andalucía;País de la UE28 sin España;2008;26.427
01 Andalucía;Belgium;2021;1.123
01 Andalucía;Belgium;2020;704
01 Andalucía;Belgium;2019;899
01 Andalucía;Belgium;2018;809
01 Andalucía;Belgium;2017;829
01 Andalucía;Belgium;2016;748
01 Andalucía;Belgium;2015;686
01 Andalucía;Belgium;2014;521
01 Andalucía;Belgium;2013;510
01 Andalucía;Belgium;2012;400
01 Andalucía;Belgium;2011;430
01 Andalucía;Belgium;2010;380
01 Andalucía;Belgium;2009;313
01 Andalucía;Belgium;2008;383
01 Andalucía;Bulgaria;2021;397
01 Andalucía;Bulgaria;2020;302
01 Andalucía;Bulgaria;2019;624
01 Andalucía;Bulgaria;2018;584
01 Andalucía;Bulgaria;2017;664
01 Andalucía;Bulgaria;2016;416
01 Andalucía;Bulgaria;2015;473
01 Andalucía;Bulgaria;2014;586
01 Andalucía;Bulgaria;2013;607
01 Andalucía;Bulgaria;2012;801
01 Andalucía;Bulgaria;2011;950
01 Andalucía;Bulgaria;2010;774
01 Andalucía;Bulgaria;2009;638
01 Andalucía;Bulgaria;2008;995
01 Andalucía;Denmark;2021;410
01 Andalucía;Denmark;2020;259
01 Andalucía;Denmark;2019;340
01 Andalucía;Denmark;2018;382
01 Andalucía;Denmark;2017;403
01 Andalucía;Denmark;2016;356
01 Andalucía;Denmark;2015;311
01 Andalucía;Denmark;2014;268
01 Andalucía;Denmark;2013;302
01 Andalucía;Denmark;2012;326
01 Andalucía;Denmark;2011;260
01 Andalucía;Denmark;2010;220
01 Andalucía;Denmark;2009;212
01 Andalucía;Denmark;2008;300
01 Andalucía;Finland;2021;472
01 Andalucía;Finland;2020;330
01 Andalucía;Finland;2019;429
01 Andalucía;Finland;2018;541
01 Andalucía;Finland;2017;528
01 Andalucía;Finland;2016;472
01 Andalucía;Finland;2015;437
01 Andalucía;Finland;2014;490
01 Andalucía;Finland;2013;468
01 Andalucía;Finland;2012;493
01 Andalucía;Finland;2011;511
01 Andalucía;Finland;2010;442
01 Andalucía;Finland;2009;295
01 Andalucía;Finland;2008;336
01 Andalucía;France;2021;1.764
01 Andalucía;France;2020;1.205
01 Andalucía;France;2019;1.467
01 Andalucía;France;2018;1.379
01 Andalucía;France;2017;1.339
01 Andalucía;France;2016;1.094
01 Andalucía;France;2015;1.098
01 Andalucía;France;2014;896
01 Andalucía;France;2013;747
01 Andalucía;France;2012;935
01 Andalucía;France;2011;945
01 Andalucía;France;2010;977
01 Andalucía;France;2009;860
01 Andalucía;France;2008;972
01 Andalucía;Ireland;2021;959
01 Andalucía;Ireland;2020;489
01 Andalucía;Ireland;2019;482
01 Andalucía;Ireland;2018;431
01 Andalucía;Ireland;2017;348
01 Andalucía;Ireland;2016;365
01 Andalucía;Ireland;2015;315
01 Andalucía;Ireland;2014;311
01 Andalucía;Ireland;2013;325
01 Andalucía;Ireland;2012;368
01 Andalucía;Ireland;2011;319
01 Andalucía;Ireland;2010;321
01 Andalucía;Ireland;2009;327
01 Andalucía;Ireland;2008;329
01 Andalucía;Italy;2021;3.108
01 Andalucía;Italy;2020;2.213
01 Andalucía;Italy;2019;2.742
01 Andalucía;Italy;2018;2.219
01 Andalucía;Italy;2017;1.973
01 Andalucía;Italy;2016;1.543
01 Andalucía;Italy;2015;1.264
01 Andalucía;Italy;2014;1.098
01 Andalucía;Italy;2013;1.042
01 Andalucía;Italy;2012;1.022
01 Andalucía;Italy;2011;1.072
01 Andalucía;Italy;2010;1.025
01 Andalucía;Italy;2009;1.139
01 Andalucía;Italy;2008;1.327
01 Andalucía;Netherlands;2021;1.209
01 Andalucía;Netherlands;2020;864
01 Andalucía;Netherlands;2019;941
01 Andalucía;Netherlands;2018;939
01 Andalucía;Netherlands;2017;889
01 Andalucía;Netherlands;2016;831
01 Andalucía;Netherlands;2015;669
01 Andalucía;Netherlands;2014;644
01 Andalucía;Netherlands;2013;575
01 Andalucía;Netherlands;2012;630
01 Andalucía;Netherlands;2011;588
01 Andalucía;Netherlands;2010;551
01 Andalucía;Netherlands;2009;619
01 Andalucía;Netherlands;2008;762
01 Andalucía;Poland;2021;524
01 Andalucía;Poland;2020;337
01 Andalucía;Poland;2019;458
01 Andalucía;Poland;2018;444
01 Andalucía;Poland;2017;391
01 Andalucía;Poland;2016;297
01 Andalucía;Poland;2015;323
01 Andalucía;Poland;2014;257
01 Andalucía;Poland;2013;334
01 Andalucía;Poland;2012;384
01 Andalucía;Poland;2011;498
01 Andalucía;Poland;2010;529
01 Andalucía;Poland;2009;598
01 Andalucía;Poland;2008;834
01 Andalucía;Portugal;2021;728
