Year,Nationality code,Sex,Age group,Immigrant count,Liberal democracy index,Continent,Sub-region,Health equality,Judicial accountability,Public sector corrupt exchanges,One-sided violence_deaths,Non-state_deaths,Intrastate_deaths,Interstate_deaths,Number of residents,Political regime,Homicide Rate,Number of Turist,Spanish language,Restricciones_pandemia,Año post_pandemia
2008,PAK,Females,65+,5,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Females,All,1573,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,6175,6,6.49,44400000,0,0,0
2008,PAK,Males,0 - 14,759,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,15 - 24,1889,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,25 - 34,3059,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,35 - 44,1229,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,45 - 54,322,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,55 - 64,38,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PAK,Males,65+,3,0.226,Asia,Asia,0.28,0.15,0.25,297,738,3570,0,40826,6,6.49,44400000,0,0,0
2008,PRY,Males,45 - 54,316,0.494,America,South America,0.37,0.47,0.34,0,0,0,0,23599,6,14.76,44400000,1,0,0
2008,RUS,Both,65+,135,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Both,All,5752,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,44669,3,12.71,44400000,0,0,0
2008,RUS,Females,0 - 14,559,0.139,Europe,Rest of Europe,0.65,0.5,0.3,0,0,404,0,30091,3,12.71,44400000,0,0,0
2008,GBR,Females,All,11477,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,173498,7,1.47,44400000,0,0,0
2008,GBR,Males,0 - 14,1456,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Males,15 - 24,577,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Males,25 - 34,1394,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Males,35 - 44,1799,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Males,45 - 54,1989,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Males,55 - 64,3170,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,GBR,Females,65+,1249,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,173498,7,1.47,44400000,0,0,0
2008,GBR,Males,65+,1896,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,USA,Both,0 - 14,766,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,15 - 24,848,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,25 - 34,831,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,35 - 44,514,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,45 - 54,298,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,55 - 64,227,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,USA,Both,65+,205,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,GBR,Males,All,12281,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,179459,7,1.47,44400000,0,0,0
2008,USA,Both,All,3690,0.846,America,North America,0.54,0.85,0.69,0,0,0,0,23903,7,5.39,44400000,0,0,0
2008,GBR,Females,55 - 64,3119,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,173498,7,1.47,44400000,0,0,0
2008,GBR,Females,35 - 44,1591,0.806,Europe,Rest of Europe,0.88,0.75,0.72,0,0,0,0,173498,7,1.47,44400000,0,0,0
2008,UKR,Males,35 - 44,500,0.397,Europe,Rest of Europe,0.71,0.32,0.25,0,0,0,0,38288,6,5.35,44400000,0,0,0
2008,UKR,Males,45 - 54,276,0.397,Europe,Rest of Europe,0.71,0.32,0.25,0,0,0,0,38288,6,5.35,44400000,0,0,0
2008,UKR,Males,55 - 64,80,0.397,Europe,Rest of Europe,0.71,0.32,0.25,0,0,0,0,38288,6,5.35,44400000,0,0,0
2008,UKR,Males,65+,28,0.397,Europe,Rest of Europe,0.71,0.32,0.25,0,0,0,0,38288,6,5.35,44400000,0,0,0
